KEY,ZH
#MAINMENU_NEW_PLAY,"开始游戏"
#MAINMENU_NEW_QUIT,"退出"
#EXIT_COOP,"退出联机合作模式"
#CHARACTERSELECT_PASTKILLED,"过去已抹去"
#MAINMENU_NORMAL,"普通模式"
#MAINMENU_COOP,"联机模式"
#MAINMENU_GUNTEST,"枪支测试模式"
#MAINMENU_CONTROLS,"控制键"
#MAINMENU_QUIT,"退出游戏"
#MAINMENU_PRESS_START,"按开始键"
#MAINMENU_PRESS_OPTIONS,"按选项键"
#MAINMENU_NO_USER,"无用户登入，进程将不被保存"
#OPTIONS_BUTTON,"按键"
#OPTIONS_ALT_BUTTON,"Alt.键"
#CONTROL_RMB,"右键点击"
#CONTROL_LMB,"左键点击"
#CONTROL_MMB,"中键点击"
#CHAR_CONVICT,"罪犯"
#CHAR_CONVICT_SHORT,"罪犯"
#CHAR_CONVICTPOWER,"钥匙圈"
#CHAR_CONVICTGUN,"短筒散弹枪"
#CHAR_CONVICTACTUAL,"反击"
#CHAR_CONVICTACTUAL2,"报仇"
#CHAR_CONVICTACTUAL3,"两把枪"
#CHAR_GUIDE,"猎人"
#CHAR_GUIDE_SHORT,"猎人"
#CHAR_GUIDEPOWER,"十字弩"
#CHAR_GUIDEACTUAL,"猎犬"
#CHAR_GUIDEACTUAL2,"忠诚的狗"
#CHAR_GUIDEGUN,"生锈的小手枪"
#CHAR_MARINE,"海军陆战队员"
#CHAR_MARINE_SHORT,"海军陆战队员"
#CHAR_MARINEPOWER,"配备装甲"
#CHAR_MARINEGUN,"海军枪"
#CHAR_MARINEACTUAL,"军事训练"
#CHAR_ROGUE,"飞行员"
#CHAR_ROGUE_SHORT,"飞行员"
#CHAR_ROGUEPOWER,"迷人的个性"
#CHAR_ROGUEACTUAL,"顽皮"
#CHAR_ROGUEGUN,"流氓专属枪"
#CHAR_CULTIST,"异教徒"
#CHAR_CULTIST_SHORT,"异教徒"
#CHAR_CULTISTPOWER,"友谊"
#CHAR_CULTISTACTUAL,"嫉妒"
#CHAR_CULTISTACTUAL2,"助手"
#CHAR_CULTISTWEAPON,"玩具枪"
#CHAR_ROBOT,"机器人"
#CHAR_ROBOT_SHORT,"机器人"
#CHAR_ROBOTPOWER,"仇恨"
#CHAR_ROBOTGUN,"手喷枪"
#CHAR_ROBOTACTUAL,"残忍"
#CHAR_BULLET,"子弹"
#CHAR_BULLET_SHORT,"子弹"
#CHAR_BULLETPOWER,"实弹"
#CHAR_BULLETACTUAL,"嗜杀成性"
#CHAR_BULLETGUN,"英雄之剑"
#CHAR_LASTUSED,"最近使用"
#CHAR_RANDOM,"随机"
#BUTTON_MASH_TO_CONTINUE,"狂敲按钮继续游戏"
#GENERATING_GUNGEON,"载入中…"
#LEVEL,"膛室"
#FOYER_NAME,"裂隙"
#FOYER_DESC,""
#COOPEND_DESC,"今天早些时候"
#TUTORIAL_SHORTNAME,"教程"
#GUNGEON_SHORTNAME,"地牢"
#CASTLE_SHORTNAME,"城堡主楼"
#MINES_SHORTNAME,"矿井"
#CATACOMBS_SHORTNAME,"空心之谷"
#FORGE_SHORTNAME,"龙焰熔炉"
#BULLETHELL_SHORTNAME,"枪弹地狱"
#SEWERS_SHORTNAME,"地下密牢"
#RESOURCEFUL_RAT_LAIR_SHORTNAME,"???"
#ABBEY_SHORTNAME,"大教堂"
#STARSHIP_SHORTNAME,"船体"
#GUNYMEDE_SHORTNAME,"木卫三"
#WESTERN_SHORTNAME,"西方"
#OFFICE_SHORTNAME,"办公室"
#BELLY_SHORTNAME,"内部"
#JUNGLE_SHORTNAME,"丛林"
#GUNGEON_NAME,"真正的地牢"
#GUNGEON_NAME2,"上层地牢"
#CASTLE_NAME,"铅王的城堡主楼"
#CASTLE_NAME2,"铅堡"
#MINES_NAME,"黑火药矿"
#CATACOMBS_NAME,"空心之谷"
#FORGE_NAME,"龙焰熔炉"
#ABBEY_NAME,"真枪大教堂"
#STARSHIP_NAME,"废弃的船体"
#WESTERN_NAME,"古老的西方"
#TUTORIAL_NAME,"知识殿堂"
#TUTORIAL_DESC,"第0膛室"
#AIMLESSVOID_NAME,"虚无"
#AIMLESSVOID_DESC,"第？？？膛室"
#SEWERS_NAME,"地下密牢"
#NIGHTCLUB_SHORTNAME,"夜店"
#NIGHTCLUB_NAME,"名为“告解”的夜店"
#NIGHTCLUB_SECONDLINE,"过去（12年前）"
#SCIENCELAB_SHORTNAME,"实验室"
#SCIENCELAB_NAME,"原力研究与开发"
#SCIENCELAB_SECONDLINE,"过去（7年前）"
#NAZICASTLE_SHORTNAME,"领地"
#NAZICASTLE_NAME,"黑剑领地"
#NAZICASTLE_SECONDLINE,"过去（1147年前）"
