KEY,EN,QU
#MAINMENU_NEW_PLAY,"Play","RUBEL"
#MAINMENU_NEW_QUIT,"Quit","RUBEL"
#EXIT_COOP,"Exit Coop","RUBEL"
#CHARACTERSELECT_PASTKILLED,"Past Killed","RUBEL"
#MAINMENU_NORMAL,"PLAY","RUBEL"
#MAINMENU_COOP,"CO-OP MODE","RUBEL"
#MAINMENU_GUNTEST,"GUN TEST MODE","RUBEL"
#MAINMENU_CONTROLS,"CONTROLS","RUBEL"
#MAINMENU_QUIT,"QUIT","RUBEL"
#MAINMENU_PRESS_START,"Press Start","RUBEL"
#MAINMENU_PRESS_OPTIONS,"Press Options","RUBEL"
#MAINMENU_NO_USER,"No user signed in. Progress will not be saved.","RUBEL"

#OPTIONS_BUTTON,"Button","RUBEL"
#OPTIONS_ALT_BUTTON,"Alt. Button","RUBEL"
#CONTROL_RMB,"Right Click","RUBEL"
#CONTROL_LMB,"Left Click","RUBEL"
#CONTROL_MMB,"Middle Click","RUBEL"

#CHAR_CONVICT,"The Convict","RUBEL"
#CHAR_CONVICT_SHORT,"Convict","RUBEL"
#CHAR_CONVICTPOWER,"Keyring","RUBEL"
#CHAR_CONVICTGUN,"Sawed-Off Shotgun","RUBEL"
#CHAR_CONVICTACTUAL,"Retaliation","RUBEL"
#CHAR_CONVICTACTUAL2,"Revenge","RUBEL"
#CHAR_CONVICTACTUAL3,"2 Guns","RUBEL"
#CHAR_GUIDE,"The Hunter","RUBEL"
#CHAR_GUIDE_SHORT,"Hunter","RUBEL"
#CHAR_GUIDEPOWER,"Crossbow","RUBEL"
#CHAR_GUIDEACTUAL,"Hound","RUBEL"
#CHAR_GUIDEACTUAL2,"Faithful Mutt","RUBEL"
#CHAR_GUIDEGUN,"Rusty Sidearm","RUBEL"
#CHAR_MARINE,"The Marine","RUBEL"
#CHAR_MARINE_SHORT,"Marine","RUBEL"
#CHAR_MARINEPOWER,"Armored","RUBEL"
#CHAR_MARINEGUN,"Marine Issue","RUBEL"
#CHAR_MARINEACTUAL,"Military Training","RUBEL"
#CHAR_ROGUE,"The Pilot","RUBEL"
#CHAR_ROGUE_SHORT,"Pilot","RUBEL"
#CHAR_ROGUEPOWER,"Charming Persona","RUBEL"
#CHAR_ROGUEACTUAL,"Roguish","RUBEL"
#CHAR_ROGUEGUN,"Rogue Special","RUBEL"
#CHAR_CULTIST,"The Cultist","RUBEL"
#CHAR_CULTIST_SHORT,"Cultist","RUBEL"
#CHAR_CULTISTPOWER,"Friendship","RUBEL"
#CHAR_CULTISTACTUAL,"Envious","RUBEL"
#CHAR_CULTISTACTUAL2,"Sidekick","RUBEL"
#CHAR_CULTISTWEAPON,"Toy Gun","RUBEL"
#CHAR_ROBOT,"The Robot","RUBEL"
#CHAR_ROBOT_SHORT,"Robot","RUBEL"
#CHAR_ROBOTPOWER,"Hatred","RUBEL"
#CHAR_ROBOTGUN,"Gunhand","RUBEL"
#CHAR_ROBOTACTUAL,"Heartless", "RUBEL"
#CHAR_BULLET,"The Bullet","RUBEL"
#CHAR_BULLET_SHORT,"Bullet","RUBEL"
#CHAR_BULLETPOWER,"Live Ammo","RUBEL"
#CHAR_BULLETACTUAL,"Bloodthirsty","RUBEL"
#CHAR_BULLETGUN,"Hero Sword","RUBEL"

#CHAR_LASTUSED,"Last Used","RUBEL"
#CHAR_RANDOM,"Random","RUBEL"

#BUTTON_MASH_TO_CONTINUE,"Button mash to continue","RUBEL"
#GENERATING_GUNGEON,"Reloading...","RUBEL"

#LEVEL,"Chamber ","RUBEL"
#FOYER_NAME,"Breach","RUBEL"
#FOYER_DESC,"","RUBEL"
#COOPEND_DESC,"Earlier Today","RUBEL"
#TUTORIAL_SHORTNAME,"Tutorial","RUBEL"
#GUNGEON_SHORTNAME,"Gungeon","RUBEL"
#CASTLE_SHORTNAME,"Keep","RUBEL"
#MINES_SHORTNAME,"Mine","RUBEL"
#CATACOMBS_SHORTNAME,"Hollow","RUBEL"
#FORGE_SHORTNAME,"Forge","RUBEL"
#BULLETHELL_SHORTNAME,"Bullet Hell","RUBEL"
#SEWERS_SHORTNAME,"Oubliette","RUBEL"
#RESOURCEFUL_RAT_LAIR_SHORTNAME,"???","RUBEL"
#ABBEY_SHORTNAME,"Abbey","RUBEL"
#STARSHIP_SHORTNAME,"Hulk","RUBEL"
#GUNYMEDE_SHORTNAME,"Gunymede","RUBEL"
#WESTERN_SHORTNAME,"West","RUBEL"
#OFFICE_SHORTNAME,"Office","RUBEL"
#BELLY_SHORTNAME,"Belly","RUBEL"
#JUNGLE_SHORTNAME,"Jungle","RUBEL"
#GUNGEON_NAME,"Gungeon Proper","RUBEL"
#GUNGEON_NAME2,"Upper Gungeon","RUBEL"
#CASTLE_NAME,"Keep of the Lead Lord","RUBEL"
#CASTLE_NAME2,"Leadfort","RUBEL"
#MINES_NAME,"Black Powder Mine","RUBEL"
#CATACOMBS_NAME,"Hollow","RUBEL"
#FORGE_NAME,"Forge","RUBEL"
#ABBEY_NAME,"Abbey of the True Gun","RUBEL"
#STARSHIP_NAME,"Derelict Hulk","RUBEL"
#WESTERN_NAME,"Old West","RUBEL"
#TUTORIAL_NAME,"Halls of Knowledge","RUBEL"
#TUTORIAL_DESC,"Chamber 0","RUBEL"
#AIMLESSVOID_NAME,"Aimless Void","RUBEL"
#AIMLESSVOID_DESC,"Chamber ???"
#SEWERS_NAME,"Oubliette","RUBEL"

#NIGHTCLUB_SHORTNAME,"Nightclub","RUBEL"
#NIGHTCLUB_NAME,"Nightclub 'Confession'","RUBEL"
#NIGHTCLUB_SECONDLINE,"The Past (12 years prior)","RUBEL"

#SCIENCELAB_SHORTNAME,"Lab","RUBEL"
#SCIENCELAB_NAME,"Primerdyne R&D","RUBEL"
#SCIENCELAB_SECONDLINE,"The Past (7 years prior)","RUBEL"

#NAZICASTLE_SHORTNAME,"Manor","RUBEL"
#NAZICASTLE_NAME,"Blacksword Manor","RUBEL"
#NAZICASTLE_SECONDLINE,"The Past (1,147 years prior)","RUBEL"

#HEGEMONYSPACE_SHORTNAME,"Space","RUBEL"
#HEGEMONYSPACE_NAME,"Hegemony Space","RUBEL"
#HEGEMONYSPACE_SECONDLINE,"The Past (11 years prior)","RUBEL"

#RELOAD,"Reload","RUBEL"
#RELOAD_BEHOLD,"Behold","RUBEL"
#RELOAD_EMPTY,"EMPTY","RUBEL"
#RELOAD_FULL,"FULL","RUBEL"

#OPTIONS_AUDIO,"AUDIO","RUBEL"
#OPTIONS_CONTROLS,"CONTROLS","RUBEL"
#OPTIONS_GAMEPLAY,"GAMEPLAY","RUBEL"
#OPTIONS_VIDEO,"VIDEO","RUBEL"
#OPTIONS_CANCEL,"CANCEL","RUBEL"
#OPTIONS_RESETDEFAULTS,"RESET DEFAULTS","RUBEL"
#OPTIONS_CONFIRM,"CONFIRM","RUBEL"

#OPTIONS_MUSICVOLUME,"Music Volume","RUBEL"
#OPTIONS_SFXVOLUME,"SFX Volume","RUBEL"
#OPTIONS_UIVOLUME,"UI Volume","RUBEL"
#OPTIONS_SPEAKERSETUP,"Speaker Setup","RUBEL"
#OPTIONS_SPEAKERS,"Speakers","RUBEL"
#OPTIONS_HEADPHONES,"Headphones","RUBEL"

#OPTIONS_GAMMA,"Gamma","RUBEL"
#OPTIONS_DISPLAYSAFEAREA,"Display Safe Area","RUBEL"

#OPTIONS_QUICKCHARACTER,"Default Character","RUBEL"
#OPTIONS_SPEEDRUN,"Speedrun Mode","RUBEL"
#OPTIONS_BEASTMODE,"Beastmode","RUBEL"
#OPTIONS_AIMASSIST,"Controller Aim Assist Amount","RUBEL"
#OPTIONS_SCREENSHAKE,"Screen Shake Amount","RUBEL"
#OPTIONS_COOPSCREENSHAKE,"Co-op Gun Shake Reduction","RUBEL"
#OPTIONS_STICKYFRICTION,"Sticky Friction Amount","RUBEL"
#OPTIONS_TEXTSPEED,"Text Speed","RUBEL"
#OPTIONS_HOWTOPLAY,"How to Play","RUBEL"
#OPTIONS_VIEWCREDITS,"View Credits","RUBEL"
#OPTIONS_CONTROLLERCAMERAMOVES,"Controller Aim Look","RUBEL"
#OPTIONS_SAVESLOT,"SAVE SLOT","RUBEL"
#OPTIONS_SAVESLOTA,"SLOT A","RUBEL"
#OPTIONS_SAVESLOTB,"SLOT B","RUBEL"
#OPTIONS_SAVESLOTC,"SLOT C","RUBEL"
#OPTIONS_SAVESLOTD,"SLOT D","RUBEL"
#OPTIONS_RESETSAVESLOT,"Reset Save Slot Progress","RUBEL"
#OPTIONS_SHOWCONTROLLERCURSOR,"Show Cursor","RUBEL"
#OPTIONS_CURSOR,"Cursor","RUBEL"
#OPTIONS_ZOOMONLARGEBOSS,"Boss Camera Zoom","RUBEL"
#OPTIONS_RUMBLE,"Vibration","RUBEL"
#OPTIONS_GUNMENU,"Gun Menu","RUBEL"
#OPTIONS_GUNMENU_HOLD,"Gun Menu (hold)","RUBEL"
#OPTIONS_QUICKSELECT,"Enable Gun Quick Switch","RUBEL"
#OPTIONS_HIDEEMPTYGUNS,"Hide Empty Guns in Combat","RUBEL"

#OPTIONS_DEBRISQUANTITY,"Debris Quantity","RUBEL"
#OPTIONS_LIGHTINGQUALITY,"Lighting Quality","RUBEL"
#OPTIONS_MONITORSELECT,"Monitor Select","RUBEL"
#OPTIONS_MONITOR,"Monitor","RUBEL"
#OPTIONS_RESOLUTION,"Resolution","RUBEL"
#OPTIONS_SCALINGMODE,"Scaling Mode","RUBEL"
#OPTIONS_FULLSCREEN,"Fullscreen","RUBEL"
#OPTIONS_WINDOWED,"Windowed","RUBEL"
#OPTIONS_BORDERLESS,"Borderless","RUBEL"
#OPTIONS_SCREENMODE,"Screen Mode","RUBEL"
