KEY,FR
#MAINMENU_NORMAL,"MODE NORMAL"
#MAINMENU_COOP,"MODE COOP."
#MAINMENU_GUNTEST,"MODE TEST ARMES"
#MAINMENU_CONTROLS,"COMMANDES"
#MAINMENU_QUIT,"QUITTER JEU"
#MAINMENU_PRESS_START,"Appuyez sur Start"
#MAINMENU_PRESS_OPTIONS,"Appuyez sur Options"
#MAINMENU_NO_USER,"Aucun utilisateur est connecté . Jeu Progress ne sera pas enregistré ."
#OPTIONS_BUTTON,"Touche"
#OPTIONS_ALT_BUTTON,"Touche altern."
#CONTROL_RMB,"Clic droit"
#CONTROL_LMB,"Clic gauche"
#CONTROL_MMB,"Clic central"
#CHAR_CONVICT,"La Condamnée"
#CHAR_CONVICT_SHORT,"Condamnée"
#CHAR_CONVICTPOWER,"Anneau de geôlier"
#CHAR_CONVICTGUN,"Fusil à canon scié"
#CHAR_CONVICTACTUAL,"Représailles"
#CHAR_CONVICTACTUAL2,"Revanche"
#CHAR_CONVICTACTUAL3,"2 armes"
#CHAR_GUIDE,"La Chasseresse"
#CHAR_GUIDE_SHORT,"Chasseresse"
#CHAR_GUIDEPOWER,"Arbalète"
#CHAR_GUIDEACTUAL,"Chien de meute"
#CHAR_GUIDEACTUAL2,"Chien fidèle"
#CHAR_GUIDEGUN,"Flingue rouillé"
#CHAR_MARINE,"Le Marine"
#CHAR_MARINE_SHORT,"Marine"
#CHAR_MARINEPOWER,"Blindage"
#CHAR_MARINEGUN,"Arme des Marines"
#CHAR_MARINEACTUAL,"Entraînement militaire"
#CHAR_ROGUE,"Le Pilote"
#CHAR_ROGUE_SHORT,"Pilote"
#CHAR_ROGUEPOWER,"Charisme"
#CHAR_ROGUEACTUAL,"Intrépidité"
#CHAR_ROGUEGUN,"Spécial Pilote"
#CHAR_CULTIST,"Mystique"
#CHAR_CULTIST_SHORT,"Ami"
#CHAR_CULTISTPOWER,"Amitié"
#CHAR_CULTISTACTUAL,"Jalousie"
#CHAR_CULTISTACTUAL2,"Acolyte"
#CHAR_CULTISTWEAPON,"Arme-jouet"
#CHAR_ROBOT,"Le Robot"
#CHAR_ROBOT_SHORT,"Robot"
#CHAR_ROBOTPOWER,"Haine"
#CHAR_ROBOTGUN,"Main armée"
#CHAR_ROBOTACTUAL,"Sans pitié"
#CHAR_BULLET,"La Balle"
#CHAR_BULLET_SHORT,"Balle"
#CHAR_BULLETPOWER,"Balle de guerre"
#CHAR_BULLETACTUAL,"Assoiffée de sang"
#CHAR_BULLETGUN,"Épée héroïque"
#CHAR_LASTUSED,"Dernier utilisé"
