KEY,DE
#MAINMENU_NORMAL,"NORMALER MODUS"
#MAINMENU_COOP,"KOOP-MODUS"
#EXIT_COOP,"Beenden Koop."
#MAINMENU_GUNTEST,"WAFFENTEST-MODUS"
#MAINMENU_CONTROLS,"STEUERUNG"
#MAINMENU_QUIT,"SPIEL BEENDEN"
#MAINMENU_PRESS_START,"START drücken"
#MAINMENU_PRESS_OPTIONS,"OPTIONS-Taste drücken"
#MAINMENU_NO_USER,"Es ist kein Benutzer angemeldet. Spiel Fortschritte werden nicht gespeichert."
#OPTIONS_BUTTON,"Taste"
#OPTIONS_ALT_BUTTON,"Alt. Taste"
#CONTROL_RMB,"Rechtsklick"
#CONTROL_LMB,"Linksklick"
#CONTROL_MMB,"Mausrad-Klick"
#CHAR_CONVICT,"Die Strafgefangene"
#CHAR_CONVICT_SHORT,"Strafgefangene"
#CHAR_CONVICTPOWER,"Schlüsselbund"
#CHAR_CONVICTGUN,"Abgesägte Schrotflinte"
#CHAR_CONVICTACTUAL,"Vergeltung"
#CHAR_CONVICTACTUAL2,"Rache"
#CHAR_CONVICTACTUAL3,"2 Waffen"
#CHAR_GUIDE,"Die Jägerin"
#CHAR_GUIDE_SHORT,"Jägerin"
#CHAR_GUIDEPOWER,"Armbrust"
#CHAR_GUIDEACTUAL,"Hund"
#CHAR_GUIDEACTUAL2,"Treue Töle"
#CHAR_GUIDEGUN,"Rostige Seitenwaffe"
#CHAR_MARINE,"Der Marinesoldat"
#CHAR_MARINE_SHORT,"Marinesoldat"
#CHAR_MARINEPOWER,"Panzerung"
#CHAR_MARINEGUN,"Marine-Seitenwaffe"
#CHAR_MARINEACTUAL,"Militärausbildung"
#CHAR_ROGUE,"Der Pilot"
#CHAR_ROGUE_SHORT,"Pilot"
#CHAR_ROGUEPOWER,"Charmante Persönlichkeit"
#CHAR_ROGUEACTUAL,"Gaunereien"
#CHAR_ROGUEGUN,"Gauner-Spezialwaffe"
#CHAR_CULTIST,"Der Kultist"
#CHAR_CULTIST_SHORT,"Kultist"
#CHAR_CULTISTPOWER,"Freundschaft"
#CHAR_CULTISTACTUAL,"Neidisch"
#CHAR_CULTISTACTUAL2,"Unterstützer"
#CHAR_CULTISTWEAPON,"Spielzeugpistole"
#CHAR_ROBOT,"Der Roboter"
#CHAR_ROBOT_SHORT,"Roboter"
#CHAR_ROBOTPOWER,"Hass"
#CHAR_ROBOTGUN,"Waffenhand"
#CHAR_ROBOTACTUAL,"Herzlos"
#CHAR_BULLET,"Der Patroner"
#CHAR_BULLET_SHORT,"Patroner"
#CHAR_BULLETPOWER,"Lebende Munition"
#CHAR_BULLETACTUAL,"Blutrünstig"
#CHAR_BULLETGUN,"Heldenschwert"
#CHAR_LASTUSED,"Zuletzt benutzt"
#BUTTON_MASH_TO_CONTINUE,"Zum Fortfahren auf die Tasten hämmern"
#GENERATING_GUNGEON,"Generiere ..."
#LEVEL,"Kammer"
#FOYER_NAME,"Bresche"
#FOYER_DESC,""
#COOPEND_DESC,"Vorhin"
#TUTORIAL_SHORTNAME,"Einführung"
#GUNGEON_SHORTNAME,"Gungeon"
#CASTLE_SHORTNAME,"Festung"
#MINES_SHORTNAME,"Mine"
#CATACOMBS_SHORTNAME,"Hohlraum"
#FORGE_SHORTNAME,"Schmiede"
#BULLETHELL_SHORTNAME,"Geschosshölle"
#SEWERS_SHORTNAME,"Kerker"
#RESOURCEFUL_RAT_LAIR_SHORTNAME,"???"
#ABBEY_SHORTNAME,"Abtei"
#STARSHIP_SHORTNAME,"Wrack"
#GUNYMEDE_SHORTNAME,"Knallymed"
#WESTERN_SHORTNAME,"Westen"
#OFFICE_SHORTNAME,"Büro"
#BELLY_SHORTNAME,"Bauch"
#JUNGLE_SHORTNAME,"Dschungel"
#GUNGEON_NAME,"Eigentlicher Gungeon"
#GUNGEON_NAME2,"Oberer Gungeon"
#CASTLE_NAME,"Festung des Bleifürsten"
#CASTLE_NAME2,"Bleifort"
#MINES_NAME,"Schwarzpulver-Mine"
#CATACOMBS_NAME,"Hohlraum"
#FORGE_NAME,"Schmiede"
#ABBEY_NAME,"Abtei der Wahren Waffe"
#STARSHIP_NAME,"Herrenloses Wrack"
#WESTERN_NAME,"Wilder Westen"
#TUTORIAL_NAME,"Hallen des Wissens"
#TUTORIAL_DESC,"Kammer 0"
#AIMLESSVOID_NAME,"Ziellose Leere"
#AIMLESSVOID_DESC,"Kammer ???"
#SEWERS_NAME,"Kerker"
#NIGHTCLUB_SHORTNAME,"Nachtclub"
#NIGHTCLUB_NAME,"Nachtclub 'Beichte'"
#NIGHTCLUB_SECONDLINE,"In der Vergangenheit (vor 12 Jahren)"
#SCIENCELAB_SHORTNAME,"Labor"
#SCIENCELAB_NAME,"Primerdyne-Forschungsabteilung"
#SCIENCELAB_SECONDLINE,"In der Vergangenheit (vor 7 Jahren)"
#NAZICASTLE_SHORTNAME,"Anwesen"
#NAZICASTLE_NAME,"Schwarzschwert-Anwesen"
#NAZICASTLE_SECONDLINE,"In der Vergangenheit (vor 1.147 Jahren)"
#HEGEMONYSPACE_SHORTNAME,"Weltraum"
#HEGEMONYSPACE_NAME,"Hegemonie-Raum"
#HEGEMONYSPACE_SECONDLINE,"In der Vergangenheit (vor 11 Jahren)"
#RELOAD,"Nachladen"
#RELOAD_EMPTY,"LEER"
#RELOAD_FULL,"VOLL"
#OPTIONS_AUDIO,"SOUND"
#OPTIONS_CONTROLS,"STEUERUNG"
#OPTIONS_GAMEPLAY,"GAMEPLAY"
#OPTIONS_VIDEO,"GRAFIK"
#OPTIONS_CANCEL,"ABBRECHEN"
#OPTIONS_RESETDEFAULTS,"STANDARD-EINSTELLUNGEN"
#OPTIONS_CONFIRM,"BESTÄTIGEN"
#OPTIONS_MUSICVOLUME,"Musik-Lautstärke"
#OPTIONS_SFXVOLUME,"Effekt-Lautstärke"
#OPTIONS_UIVOLUME,"UI-Lautstärke"
#OPTIONS_SPEAKERSETUP,"Lautsprecher-Einstellung"
#OPTIONS_SPEAKERS,"Lautsprecher"
#OPTIONS_HEADPHONES,"Kopfhörer"
#OPTIONS_GAMMA,"Gamma"
#OPTIONS_DISPLAYSAFEAREA,"Größe"
#OPTIONS_QUICKCHARACTER,"Standardcharakter"
#OPTIONS_SPEEDRUN," Speedrun-Modus"
#OPTIONS_BEASTMODE,"Bestienmodus"
#OPTIONS_AIMASSIST,"Umfang der Controller-Zielhilfe"
#OPTIONS_SCREENSHAKE,"Bildschirm-Erschütterung"
#OPTIONS_COOPSCREENSHAKE,"Reduziertes Wackeln der Waffe im Koop"
#OPTIONS_STICKYFRICTION,"Haftreibung"
#OPTIONS_TEXTSPEED,"Textgeschwindigkeit"
#OPTIONS_HOWTOPLAY,"Wie wird gespielt"
#OPTIONS_VIEWCREDITS,"Mitwirkende ansehen"
#OPTIONS_CONTROLLERCAMERAMOVES,"Controller-Zielansicht"
#OPTIONS_SAVESLOT,"SPEICHERPLATZ"
#OPTIONS_SAVESLOTA,"PLATZ A"
#OPTIONS_SAVESLOTB,"PLATZ B"
#OPTIONS_SAVESLOTC,"PLATZ C"
#OPTIONS_SAVESLOTD,"PLATZ D"
#OPTIONS_SHOWCONTROLLERCURSOR,"Zeiger"
#OPTIONS_CURSOR,"Zeiger"
#OPTIONS_ZOOMONLARGEBOSS,"Bosskamera-Zoom"
#OPTIONS_RUMBLE,"VIBRATION"
#OPTIONS_GUNMENU,"Waffenmenü"
#OPTIONS_GUNMENU_HOLD,"Waffenmenü"
#OPTIONS_QUICKSELECT,"Schnellen Waffenwechsel zulassen"
#OPTIONS_HIDEEMPTYGUNS,"Leere Waffen im Kampf verbergen"
#OPTIONS_DEBRISQUANTITY,"Trümmermenge"
#OPTIONS_LIGHTINGQUALITY,"Beleuchtungsqualität"
#OPTIONS_MONITORSELECT,"Wahl des Monitors"
#OPTIONS_MONITOR,"Monitor"
#OPTIONS_RESOLUTION,"Auflösung"
#OPTIONS_SCALINGMODE,"Skaliermodus"
#OPTIONS_FULLSCREEN,"Vollbild"
#OPTIONS_WINDOWED,"Fenster"
#OPTIONS_BORDERLESS,"Ohne Rand"
#OPTIONS_SCREENMODE,"Bildschirmmodus"
#OPTIONS_SHADERQUALITY,"Shader-Qualität"
#OPTIONS_VSYNC,"V-Sync"
#OPTIONS_RECOMMENDED,"Empfohlen"
#OPTIONS_CUSTOM,"Benutzerdefiniert"
#OPTIONS_VISUALPRESET,"Grafische Voreinstellung"
#OPTIONS_REFLECTIONS,"Echtzeit-Spiegelungen"
#OPTIONS_KEYBOARDMOUSE,"Tastatur/Maus"
#OPTIONS_RESOLUTION_BEST,"Richtiges Bildformat, pixel-perfekte Auflösung.\nDas beste grafische Erlebnis."
#OPTIONS_RESOLUTION_GOOD,"Falsches Bildformat, pixel-perfekte Auflösung.\nHat schwarze Ränder zur Folge."
#OPTIONS_RESOLUTION_BAD,"Keine pixel-perfekte Auflösung.\nPixel können gestreckt werden, falls Skaliermodus nicht 'Pixel-perfekt erzwingen' ist."
#OPTIONS_PIXELPERFECT,"Pixel-perfekt"
#OPTIONS_PIXELPERFECT_INFO,"Vorgesehene visuelle Wiedergabe, macht unseren Grafiker glücklich.\nNur verfügbar, wenn die richtige Auflösung gewählt ist."
#OPTIONS_UNIFORMSCALING,"Gleichmäßige Skalierung"
#OPTIONS_UNIFORMSCALINGFAST,"Schnelle Skalierung"
#OPTIONS_UNIFORMSCALING_INFOGOOD,"Richtiges Bildformat, skaliert auf deine Auflösung.\nGegenwärtig pixel-perfekt."
#OPTIONS_UNIFORMSCALING_INFOBAD,"Richtiges Bildformat, skaliert auf deine Auflösung.\nPixel sind gegenwärtig gestreckt."
#OPTIONS_FORCEPIXELPERFECT,"Pixel-perfekt erzwingen"
#OPTIONS_FORCEPIXELPERFECT_INFO,"Vorgesehene visuelle Wiedergabe, macht unseren Grafiker glücklich.\nKann schwarze Ränder zur Folge haben."
#OPTIONS_MINIMAPSTYLE,"Minikarten-Anzeige"
#OPTIONS_MINIMAPALWAYS,"Immer"
#OPTIONS_MINIMAPNONCOMBAT,"Außerhalb des Kampfs"
#OPTIONS_MINIMAPNEVER,"Nie"
#OPTIONS_HIGH,"Hoch"
#OPTIONS_FAST,"Schnell"
#OPTIONS_MEDIUM,"Mittel"
#OPTIONS_LOW,"Niedrig"
#OPTIONS_VERYLOW,"Sehr Niedrig"
#OPTIONS_SLOW,"Langsam"
#OPTIONS_INSTANT,"Sofort"
#OPTIONS_PS4,"PS4"
#OPTIONS_XBOX,"Xbox"
#OPTIONS_BLANKCONTROL,"Zusätzliche Nichts-Auslösung"
#OPTIONS_NONE,"–"
#OPTIONS_BOTHSTICKSDOWN,"Beide Sticks nach unten"
#OPTIONS_SHOOT,"Schießen"
#OPTIONS_DODGEROLL,"Ausweichrolle"
#OPTIONS_INTERACT,"Interaktion"
#OPTIONS_RELOAD,"Nachladen"
#OPTIONS_MOVE,"Bewegen"
#OPTIONS_MOVEUP,"Nach oben bewegen"
#OPTIONS_MOVEDOWN,"Nach unten bewegen"
#OPTIONS_MOVELEFT,"Nach links bewegen"
#OPTIONS_MOVERIGHT,"Nach rechts bewegen"
#OPTIONS_AIM,"Zielen"
#OPTIONS_AIMUP,"Nach oben zielen"
#OPTIONS_AIMDOWN,"Nach unten zielen"
#OPTIONS_AIMLEFT,"Nach links zielen"
#OPTIONS_AIMRIGHT,"Nach rechts zielen"
#OPTIONS_MENUUP,"Menu Up"
#OPTIONS_MENUDOWN,"Menu Down"
#OPTIONS_MENULEFT,"Menu Left"
#OPTIONS_MENURIGHT,"Menu Right"
#OPTIONS_MENUSELECT,"Menu Select"
#OPTIONS_MENUCANCEL,"Menu Cancel"
#OPTIONS_USEITEM,"Gegenstand benutzen"
#OPTIONS_USEBLANK,"Nichts auslösen"
#OPTIONS_MAP,"Karte"
#OPTIONS_MAP_HOLD,"Karte"
#OPTIONS_CYCLEGUNUP,"Nächste Waffe"
#OPTIONS_CYCLEGUNDOWN,"Vorige Waffe"
#OPTIONS_CYCLEITEMUP,"Nächster Gegenstand"
#OPTIONS_CYCLEITEMUP_HOLD,"Gegenstand wechseln (halten)"
#OPTIONS_CYCLEITEMDOWN,"Voriger Gegenstand"
#OPTIONS_DROPGUN,"Waffe ablegen"
#OPTIONS_DROPITEM,"Gegenstand ablegen"
#OPTIONS_LANGUAGE,"Sprache"
#OPTIONS_PAUSE,"Pause"
#OPTIONS_INVENTORY,"Inventar"
#OPTIONS_EDITKEYBOARDBINDINGS,"Tastenbelegung ändern"
#OPTIONS_PLAYERONE,"Spieler 1"
#OPTIONS_PLAYERTWO,"Spieler 2"
#OPTIONS_CONTROLLERPORT,"Controller-Anschluss"
#OPTIONS_CONTROLLERCURSOR,"Controller-Zeiger"
#OPTIONS_BUTTONIMAGES,"Controllertasten-Bilder"
#OPTIONS_EDITP1BINDINGS,"Controllerbelegung S1 ändern"
#OPTIONS_EDITP2BINDINGS,"Controllerbelegung S2 ändern"
#PAUSE_PAUSED,"PAUSIERT"
#PAUSE_RESUME,"Fortsetzen"
#OPTIONS,"Optionen"
#AMMONOMICON,"Muninomikon"
#PAUSE_QUICKRESTART,"Schneller Neustart"
#PAUSE_EXITTOMAINMENU,"Zurück zum Hauptmenü"
#PAUSE_QUITTODESKTOP,"Beenden (zum Desktop)"
#AMMONOMICON_HEADEREQUIPMENT,"Ausrüstung"
#AMMONOMICON_HEADERGUNS,"WAFFEN"
#AMMONOMICON_HEADERGUNS_LC,"Waffen"
#AMMONOMICON_HEADERITEMS,"GEGENSTÄNDE"
#AMMONOMICON_HEADERENEMIES,"GEGNER"
#AMMONOMICON_HEADERBOSSES,"BOSSE"
#JOINEDTHESHOOTOUT1,"NIMMT AN DER"
#JOINEDTHESHOOTOUT2,"SCHIESSEREI TEIL"
#AMMONOMICON_UNKNOWN,"Unbekannt"
#AMMONOMICON_QUESTIONS,"???"
#AMMONOMICON_MYSTERIOUS,"Manche Geheimnisse des Gungeons bleiben verborgen."
#DEATH_YOUWON,"DU HAST GEWONNEN"
#DEATH_YOUDIED,"DU BIST TOT"
#DEATH_GUNGEONEER,"GUNGEONEER"
#DEATH_AREA,"GEBIET"
#DEATH_TIME,"ZEIT"
#DEATH_MONEY,"GELD"
#DEATH_KILLS,"ABSCHÜSSE"
#DEATH_PASTHAUNTS,"Die Vergangenheit verfolgt dich"
#DEATH_PASTKILLED,"Vergangenheit abgeschossen"
#DEATH_HELLCLEARED,"Das Böse verbannt"
#DEATH_KILLEDBY,"GETÖTET VON"
#DEATH_NOBODY,"Niemandem. Gute Arbeit!"
#DEATH_QUICKRESTART," Schneller Neustart"
#DEATH_MAINMENU," Zurück zur Bresche"
#LANGUAGE_ENGLISH,"Englisch"
#LANGUAGE_SPANISH,"Spanisch"
#LANGUAGE_FRENCH,"Französisch"
#LANGUAGE_ITALIAN,"Italienisch"
#LANGUAGE_GERMAN,"Deutsch"
#LANGUAGE_PORTUGUESE,"Portugiesisch"
#LANGUAGE_POLISH,"Polnische"
#LANGUAGE_RUSSIAN,"Russisch"
#LANGUAGE_JAPANESE,"Japanisch"
#LANGUAGE_KOREAN,"Koreanisch"
#AREYOUSURE,"Bist du sicher?"
#AYS_QUITTODESKTOP,"Beenden (zum Desktop)?"
#AYS_QUICKRESTART,"Neu starten?"
#AYS_SAVEOPTIONS,"Änderungen übernehmen?"
#AYS_MADECHANGES,"Änderungen verwerfen?"
#AYS_RESETDEFAULTS,"Standard wiederherstellen?"
#YES,"Ja"
#NO,"Nein"
#ENDGAME_STANDARD_THANKS,"Danke fürs Spielen!"
#ENDGAME_STANDARD_MYSTERY,"Der Gungeon birgt noch Geheimnisse ..."
#ENDGAME_STANDARD_PAST,"Du hast die Vergangenheit abgeschossen. Der Gungeon bleibt bestehen ..."
#HOW_TO_PLAY,"Setze einfach die Ausweichrolle ein."
#SELECTITEM,"Gegenstand wählen"
#DROPWORD,"Ablegen"
#PANMAP,"Karte verschieben"
#SELECTTELEPORT,"Teleporter wählen"
#TELEPORT,"Teleport"
#CURRENTITEM,"Aktueller Gegenstand"
#CHARACTERSELECT_PASTKILLED,"Vergangenheit abgeschossen"
#OPTIONS_RESETSAVESLOT,"Speicherplatz-Fortschritt löschen"
#AYS_CHANGESAVESLOT,"Speicherplatz wechseln?"
#AYS_RESETSAVESLOT,"Fortschritt löschen?"
