KEY,IT
#MAINMENU_NORMAL,"MODALITÀ NORMALE"
#MAINMENU_COOP,"MODALITÀ COOP"
#MAINMENU_GUNTEST,"MODALITÀ TEST ARMI"
#MAINMENU_CONTROLS,"COMANDI"
#MAINMENU_QUIT,"ESCI"
#MAINMENU_PRESS_START,"Premi START"
#MAINMENU_PRESS_OPTIONS,"Premi OPTIONS"
#MAINMENU_NO_USER,"Nessun utente ha eseguito l'accesso . Gioco Il progresso non verrà salvato ."
#OPTIONS_BUTTON,"Tasto"
#OPTIONS_ALT_BUTTON,"Tasto alternativo"
#CONTROL_RMB,"Pulsante destro"
#CONTROL_LMB,"Pulsante sinistro"
#CONTROL_MMB,"Pulsante centrale"
#CHAR_CONVICT,"L'evasa"
#CHAR_CONVICT_SHORT,"Evasa"
#CHAR_CONVICTPOWER,"Portachiavi"
#CHAR_CONVICTGUN,"Fucile a canne mozze"
#CHAR_CONVICTACTUAL,"Ritorsione"
#CHAR_CONVICTACTUAL2,"Vendetta"
#CHAR_CONVICTACTUAL3,"2 armi"
#CHAR_GUIDE,"La cacciatrice"
#CHAR_GUIDE_SHORT,"Cacciatrice"
#CHAR_GUIDEPOWER,"Balestra"
#CHAR_GUIDEACTUAL,"Mastino"
#CHAR_GUIDEACTUAL2,"Fedele amico"
#CHAR_GUIDEGUN,"Ferro rugginoso"
#CHAR_MARINE,"Il marine"
#CHAR_MARINE_SHORT,"Marine"
#CHAR_MARINEPOWER,"Corazzato"
#CHAR_MARINEGUN,"Dotazione da marine"
#CHAR_MARINEACTUAL,"Addestramento militare"
#CHAR_ROGUE,"Il pilota"
#CHAR_ROGUE_SHORT,"Pilota"
#CHAR_ROGUEPOWER,"Fascino da vendere"
#CHAR_ROGUEACTUAL,"Un po' canaglia"
#CHAR_ROGUEGUN,"Canaglia Special"
#CHAR_CULTIST,"Il maestro"
#CHAR_CULTIST_SHORT,"Maestro"
#CHAR_CULTISTPOWER,"Amicizia"
#CHAR_CULTISTACTUAL,"Invidioso"
#CHAR_CULTISTACTUAL2,"Spalla"
#CHAR_CULTISTWEAPON,"Pistola giocattolo"
#CHAR_ROBOT,"Il robot"
#CHAR_ROBOT_SHORT,"Robot"
#CHAR_ROBOTPOWER,"Odio"
#CHAR_ROBOTGUN,"Mano armata"
#CHAR_ROBOTACTUAL,"Senza cuore"
#CHAR_BULLET,"Il proiettile"
#CHAR_BULLET_SHORT,"Proiettile"
#CHAR_BULLETPOWER,"Munizione vivente"
#CHAR_BULLETACTUAL,"Assetato di sangue"
#CHAR_BULLETGUN,"Spada da eroe"
#CHAR_LASTUSED,"Ultimo uso"
#BUTTON_MASH_TO_CONTINUE,"Premi per continuare"
#GENERATING_GUNGEON,"Creazione Gungeon..."
#LEVEL,"Livello"
#FOYER_NAME,"Varco"
#FOYER_DESC,""
#COOPEND_DESC,"Poco fa"
#TUTORIAL_SHORTNAME,"Tutorial"
#GUNGEON_SHORTNAME,"Gungeon"
#CASTLE_SHORTNAME,"Segreta"
#MINES_SHORTNAME,"Miniera"
#CATACOMBS_SHORTNAME,"Catacombe"
#FORGE_SHORTNAME,"Forgia"
#BULLETHELL_SHORTNAME,"Inferno dei proiettili"
#SEWERS_SHORTNAME,"Fogne dell'oblio"
#RESOURCEFUL_RAT_LAIR_SHORTNAME,"???"
#ABBEY_SHORTNAME,"Abbazia"
#STARSHIP_SHORTNAME,"Hulk"
#GUNYMEDE_SHORTNAME,"Gunimede"
#WESTERN_SHORTNAME,"West"
#OFFICE_SHORTNAME,"Ufficio"
#BELLY_SHORTNAME,"Ventre"
#JUNGLE_SHORTNAME,"Giungla"
#GUNGEON_NAME,"Gungeon vero e proprio"
#GUNGEON_NAME2,"Gungeon superiore"
#CASTLE_NAME,"Segreta del Signore del piombo"
#CASTLE_NAME2,"Fortezza di piombo"
#MINES_NAME,"Miniera di polvere nera"
#CATACOMBS_NAME,"Catacombe"
#FORGE_NAME,"Forgia"
#ABBEY_NAME,"Abbazia della Vera arma"
#STARSHIP_NAME,"Hulk Derelict"
#WESTERN_NAME,"Vecchio West"
#TUTORIAL_NAME,"Sale della sapienza"
#TUTORIAL_DESC,"Livello 0"
#AIMLESSVOID_NAME,"Oblio dei senza mira"
#AIMLESSVOID_DESC,"Livello ???"
#SEWERS_NAME,"Fogne dell'oblio"
#NIGHTCLUB_SHORTNAME,"Nightclub"
#NIGHTCLUB_NAME,"Nightclub "
#NIGHTCLUB_SECONDLINE,"Il passato (12 anni prima)"
#SCIENCELAB_SHORTNAME,"Laboratorio"
#SCIENCELAB_NAME,"Ultratron - Ricerca e sviluppo"
#SCIENCELAB_SECONDLINE,"Il passato (7 anni prima)"
#NAZICASTLE_SHORTNAME,"Maniero"
#NAZICASTLE_NAME,"Maniero delle Spade nere"
#NAZICASTLE_SECONDLINE,"Il passato (1.147 anni prima)"
#HEGEMONYSPACE_SHORTNAME,"Spazio"
#HEGEMONYSPACE_NAME,"Spazio dell'Egemonia"
#HEGEMONYSPACE_SECONDLINE,"Il passato (11 anni prima)"
#RELOAD,"Ricarica"
#RELOAD_EMPTY,"CARICATORE VUOTO"
#RELOAD_FULL,"CARICATORE PIENO"
#OPTIONS_AUDIO,"AUDIO"
#OPTIONS_CONTROLS,"COMANDI"
#OPTIONS_GAMEPLAY,"GIOCO"
#OPTIONS_VIDEO,"VIDEO"
#OPTIONS_CANCEL,"ANNULLA"
#OPTIONS_RESETDEFAULTS,"PREDEFINITI"
#OPTIONS_CONFIRM,"CONFERMA"
#OPTIONS_MUSICVOLUME,"Volume musica"
#OPTIONS_SFXVOLUME,"Volume effetti"
#OPTIONS_UIVOLUME,"Volume interfaccia"
#OPTIONS_SPEAKERSETUP,"Configurazione altoparlanti"
#OPTIONS_SPEAKERS,"Altoparlanti"
#OPTIONS_HEADPHONES,"Cuffie"
#OPTIONS_GAMMA,"Gamma"
#OPTIONS_DISPLAYSAFEAREA,"Dimensione"
#OPTIONS_QUICKCHARACTER,"Personaggio predefinito"
#OPTIONS_SPEEDRUN," Modalità Corsa"
#OPTIONS_BEASTMODE,"Modalità Belva"
#OPTIONS_AIMASSIST,"Mira assistita controller"
#OPTIONS_SCREENSHAKE,"Vibrazione schermo"
#OPTIONS_COOPSCREENSHAKE,"Vibrazione arma Coop"
#OPTIONS_STICKYFRICTION,"Attrito dinamico"
#OPTIONS_TEXTSPEED,"Velocità testo"
#OPTIONS_HOWTOPLAY,"Guida"
