KEY,JA
#MAINMENU_NORMAL,"ノーマルモード"
#MAINMENU_COOP,"協力モード"
#MAINMENU_GUNTEST,"ガンテストモード"
#MAINMENU_CONTROLS,"操作"
#MAINMENU_QUIT,"ゲームを終了"
#MAINMENU_PRESS_START,"PRESS START"
#MAINMENU_PRESS_OPTIONS,"PRESS OPTIONS"
#MAINMENU_NO_USER,"ユーザーはログインしていません。進捗状況は保存されません。"
#OPTIONS_BUTTON,"ボタン"
#OPTIONS_ALT_BUTTON,"サブボタン"
#CONTROL_RMB,"右クリック"
#CONTROL_LMB,"左クリック"
#CONTROL_MMB,"ミドルクリック"
#CHAR_CONVICT,"プリゾナー"
#CHAR_CONVICT_SHORT,"プリゾナー"
#CHAR_CONVICTPOWER,"キーリング"
#CHAR_CONVICTGUN,"ソードオフショットガン"
#CHAR_CONVICTACTUAL,"報復"
#CHAR_CONVICTACTUAL2,"リベンジ"
#CHAR_CONVICTACTUAL3,"2丁拳銃"
#CHAR_GUIDE,"ハンター"
#CHAR_GUIDE_SHORT,"ハンター"
#CHAR_GUIDEPOWER,"クロスボウ"
#CHAR_GUIDEACTUAL,"ハウンド"
#CHAR_GUIDEACTUAL2,"頼れる忠犬"
#CHAR_GUIDEGUN,"さびたピストル"
#CHAR_MARINE,"ソルジャー"
#CHAR_MARINE_SHORT,"ソルジャー"
#CHAR_MARINEPOWER,"アーマー"
#CHAR_MARINEGUN,"制式ピストル"
#CHAR_MARINEACTUAL,"軍事訓練の記録"
#CHAR_ROGUE,"パイロット"
#CHAR_ROGUE_SHORT,"パイロット"
#CHAR_ROGUEPOWER,"カリスマ"
#CHAR_ROGUEACTUAL,"ローグライク"
#CHAR_ROGUEGUN,"ローグスペシャル"
#CHAR_CULTIST,"イニシエート"
#CHAR_CULTIST_SHORT,"イニシエート"
#CHAR_CULTISTPOWER,"フレンドシップ"
#CHAR_CULTISTACTUAL,"ジェラシー"
#CHAR_CULTISTACTUAL2,"脇役"
#CHAR_CULTISTWEAPON,"トイガン"
#CHAR_ROBOT,"ロボット"
#CHAR_ROBOT_SHORT,"ロボット"
#CHAR_ROBOTPOWER,"ヘイト"
#CHAR_ROBOTGUN,"ガンハンド"
#CHAR_ROBOTACTUAL,"ハートレス"
#CHAR_BULLET,"ブレット"
#CHAR_BULLET_SHORT,"ブレット"
#CHAR_BULLETPOWER,"セルフ弾"
#CHAR_BULLETACTUAL,"ブラッディ"
#CHAR_BULLETGUN,"ヒーローソード"
#CHAR_LASTUSED,"最後に使ったキャラ"
#BUTTON_MASH_TO_CONTINUE,"ボタン連打でコンティニュー"
#GENERATING_GUNGEON,"Loading..."
#LEVEL,"チェンバー"
#FOYER_NAME,"エントランス"
#FOYER_DESC,""
#COOPEND_DESC,"ついさっき"
#TUTORIAL_SHORTNAME,"チュートリアル"
#GUNGEON_SHORTNAME,"ガンジョン"
#CASTLE_SHORTNAME,"城塞"
#MINES_SHORTNAME,"採掘場"
#CATACOMBS_SHORTNAME,"地下墓所"
#FORGE_SHORTNAME,"鍛冶場"
#BULLETHELL_SHORTNAME,"弾丸地獄"
#SEWERS_SHORTNAME,"下水道"
#RESOURCEFUL_RAT_LAIR_SHORTNAME,"???"
#ABBEY_SHORTNAME,"修道院"
#STARSHIP_SHORTNAME,"廃船"
#GUNYMEDE_SHORTNAME,"ガンメデ"
#WESTERN_SHORTNAME,"西部"
#OFFICE_SHORTNAME,"オフィス"
#BELLY_SHORTNAME,"内部"
#JUNGLE_SHORTNAME,"ジャングル"
#GUNGEON_NAME,"メインガンジョン"
#GUNGEON_NAME2,"ガンジョン深部"
#CASTLE_NAME,"弾丸王の城塞"
#CASTLE_NAME2,"鉛城"
#MINES_NAME,"ブラックパウダー採掘場"
#CATACOMBS_NAME,"地下墓所"
#FORGE_NAME,"鍛冶場"
#ABBEY_NAME,"正銃教団修道院"
