KEY,KO
#MAINMENU_NORMAL,"일반 모드"
#MAINMENU_COOP,"협력 모드"
#MAINMENU_GUNTEST,"시범 사격 모드"
#MAINMENU_CONTROLS,"컨트롤"
#MAINMENU_QUIT,"게임 종료"
#MAINMENU_PRESS_START,"Start 누르기"
#MAINMENU_PRESS_OPTIONS,"Options 누르기"
#MAINMENU_NO_USER,"사용자는 로그인하지 않았습니다. 진행 상태가 저장되지 않았습니다."
#OPTIONS_BUTTON,"버튼"
#OPTIONS_ALT_BUTTON,"Alt. 버튼"
#CONTROL_RMB,"오른쪽 클릭"
#CONTROL_LMB,"왼쪽 클릭"
#CONTROL_MMB,"가운데 클릭"
#CHAR_CONVICT,"죄수"
#CHAR_CONVICT_SHORT,"죄수"
#CHAR_CONVICTPOWER,"열쇠 고리"
#CHAR_CONVICTGUN,"짧은 총신 산탄총"
#CHAR_CONVICTACTUAL,"보복"
#CHAR_CONVICTACTUAL2,"복수"
#CHAR_CONVICTACTUAL3,"두 정의 총"
#CHAR_GUIDE,"사냥꾼"
#CHAR_GUIDE_SHORT,"사냥꾼"
#CHAR_GUIDEPOWER,"석궁"
#CHAR_GUIDEACTUAL,"사냥개"
#CHAR_GUIDEACTUAL2,"충직한 개"
#CHAR_GUIDEGUN,"녹슨 사이드암"
#CHAR_MARINE,"해병"
#CHAR_MARINE_SHORT,"해병"
#CHAR_MARINEPOWER,"무장"
#CHAR_MARINEGUN,"해병대원"
#CHAR_MARINEACTUAL,"군사 훈련"
#CHAR_ROGUE,"파일럿"
#CHAR_ROGUE_SHORT,"파일럿"
#CHAR_ROGUEPOWER,"매력적인 성격"
#CHAR_ROGUEACTUAL,"악동스러운 면"
#CHAR_ROGUEGUN,"로그 스페셜"
#CHAR_CULTIST,"광신도"
#CHAR_CULTIST_SHORT,"광신도"
#CHAR_CULTISTPOWER,"우정"
#CHAR_CULTISTACTUAL,"질투심"
#CHAR_CULTISTACTUAL2,"조수"
#CHAR_CULTISTWEAPON,"장난감 총"
#CHAR_ROBOT,"로봇"
#CHAR_ROBOT_SHORT,"로봇"
#CHAR_ROBOTPOWER,"증오"
#CHAR_ROBOTGUN,"사격 실력"
#CHAR_ROBOTACTUAL,"무정함"
#CHAR_BULLET,"총탄"
#CHAR_BULLET_SHORT,"총탄"
#CHAR_BULLETPOWER,"라이브 아모"
#CHAR_BULLETACTUAL,"살기"
#CHAR_BULLETGUN,"영웅 소드"
#CHAR_LASTUSED,"최근 사용"
#BUTTON_MASH_TO_CONTINUE,"버튼 매시로 계속"
#GENERATING_GUNGEON,"생성하는 중..."
#LEVEL,"방 "
#FOYER_NAME,"틈"
#FOYER_DESC,""
#COOPEND_DESC,"오늘 일찍"
#TUTORIAL_SHORTNAME,"튜토리얼"
#GUNGEON_SHORTNAME,"총굴"
#CASTLE_SHORTNAME,"성채"
#MINES_SHORTNAME,"지뢰"
#CATACOMBS_SHORTNAME,"공허"
#FORGE_SHORTNAME,"대장간"
#BULLETHELL_SHORTNAME,"총탄 지옥"
#SEWERS_SHORTNAME,"지하 감옥"
#RESOURCEFUL_RAT_LAIR_SHORTNAME,"???"
#ABBEY_SHORTNAME,"수도원"
#STARSHIP_SHORTNAME,"선체"
#GUNYMEDE_SHORTNAME,"거니메데"
#WESTERN_SHORTNAME,"서부"
#OFFICE_SHORTNAME,"사무실"
#BELLY_SHORTNAME,"배"
#JUNGLE_SHORTNAME,"밀림"
#GUNGEON_NAME,"총굴 본관"
#GUNGEON_NAME2,"총굴 상층"
#CASTLE_NAME,"리드 로드의 성채"
#CASTLE_NAME2,"리드포트"
#MINES_NAME,"화약 탄광"
#CATACOMBS_NAME,"공허"
#FORGE_NAME,"대장간"
#ABBEY_NAME,"진정한 총의 수도원"
#STARSHIP_NAME,"버려진 선체"
#WESTERN_NAME,"구 서부"
#TUTORIAL_NAME,"지식의 성전"
#TUTORIAL_DESC,"0번째 방"
#AIMLESSVOID_NAME,"방향 없는 공동"
#AIMLESSVOID_DESC,"???번째 방"
#SEWERS_NAME,"지하 감옥"
#NIGHTCLUB_SHORTNAME,"나이트클럽"
#NIGHTCLUB_NAME,"나이트클럽 '고백'"
#NIGHTCLUB_SECONDLINE,"과거(12년 전)"
#SCIENCELAB_SHORTNAME,"실험실"
#SCIENCELAB_NAME,"프라이머다인 연구개발실"
#SCIENCELAB_SECONDLINE,"과거(7년 전)"
#NAZICASTLE_SHORTNAME,"영지"
#NAZICASTLE_NAME,"블랙소드 영지"
#NAZICASTLE_SECONDLINE,"과거(1,147년 전)"
#HEGEMONYSPACE_SHORTNAME,"우주"
#HEGEMONYSPACE_NAME,"헤게모니 우주"
#HEGEMONYSPACE_SECONDLINE,"과거(11년 전)"
#RELOAD,"재장전"
#RELOAD_EMPTY,"비어 있음"
#RELOAD_FULL,"가득 참"
#OPTIONS_AUDIO,"오디오"
#OPTIONS_CONTROLS,"컨트롤"
#OPTIONS_GAMEPLAY,"게임 플레이"
#OPTIONS_VIDEO,"비디오"
#OPTIONS_CANCEL,"취소"
#OPTIONS_RESETDEFAULTS,"초기화"
#OPTIONS_CONFIRM,"확인"
#OPTIONS_MUSICVOLUME,"음악 볼륨"
#OPTIONS_SFXVOLUME,"음향 볼륨"
#OPTIONS_UIVOLUME,"UI 볼륨"
#OPTIONS_SPEAKERSETUP,"스피커 설정"
#OPTIONS_SPEAKERS,"스피커"
#OPTIONS_HEADPHONES,"헤드폰"
#OPTIONS_GAMMA,"감마"
#OPTIONS_DISPLAYSAFEAREA,"크기"
#OPTIONS_QUICKCHARACTER,"기본 캐릭터"
#OPTIONS_SPEEDRUN," 스피드런 모드"
#OPTIONS_BEASTMODE,"비스트 모드"
#OPTIONS_AIMASSIST,"컨트롤러 조준 보조 수준"
#OPTIONS_SCREENSHAKE,"화면 흔들림 수준"
#OPTIONS_COOPSCREENSHAKE,"협력 총 흔들림 감소"
#OPTIONS_STICKYFRICTION,"끈적임 마찰 수준"
#OPTIONS_TEXTSPEED,"텍스트 속도"
#OPTIONS_HOWTOPLAY,"게임 방법"
#OPTIONS_VIEWCREDITS,"제작진 보기"
#OPTIONS_CONTROLLERCAMERAMOVES,"컨트롤러 조준 보기"
#OPTIONS_SAVESLOT,"저장 슬롯"
#OPTIONS_SAVESLOTA,"슬롯 A"
#OPTIONS_SAVESLOTB,"슬롯 B"
#OPTIONS_SAVESLOTC,"슬롯 C"
#OPTIONS_SAVESLOTD,"슬롯 D"
#OPTIONS_SHOWCONTROLLERCURSOR,"커서"
#OPTIONS_CURSOR,"커서"
#OPTIONS_ZOOMONLARGEBOSS,"보스 카메라 확대/축소"
#OPTIONS_RUMBLE,"럼블"
#OPTIONS_GUNMENU,"총 메뉴"
#OPTIONS_GUNMENU_HOLD,"총 메뉴(길게 누르기)"
#OPTIONS_QUICKSELECT,"빠른 총 교환 사용"
#OPTIONS_HIDEEMPTYGUNS,"전투에서 빈 총 감추기"
#OPTIONS_DEBRISQUANTITY,"잔해 양"
#OPTIONS_LIGHTINGQUALITY,"빛 처리 품질"
#OPTIONS_MONITORSELECT,"모니터 선택"
#OPTIONS_MONITOR,"모니터"
#OPTIONS_RESOLUTION,"해상도"
#OPTIONS_SCALINGMODE,"스케일링 모드"
#OPTIONS_FULLSCREEN,"전체 화면"
#OPTIONS_WINDOWED,"창 모드"
#OPTIONS_BORDERLESS,"경계선 없음"
#OPTIONS_SCREENMODE,"스크린 모드"
#OPTIONS_SHADERQUALITY,"셰이더 품질"
#OPTIONS_VSYNC,"수직 동기화"
#OPTIONS_RECOMMENDED,"추천"
#OPTIONS_CUSTOM,"사용자 지정"
#OPTIONS_VISUALPRESET,"그래픽 미리 지정"
#OPTIONS_REFLECTIONS,"실시간 반사"
#OPTIONS_KEYBOARDMOUSE,"키보드/마우스"
#OPTIONS_RESOLUTION_BEST,"가로 세로 비율이 올바르며 픽셀 퍼펙트 해상도입니다.\n그래픽 품질이 가장 뛰어납니다."
#OPTIONS_RESOLUTION_GOOD,"가로 세로 비율이 올바르지 않으며 픽셀 퍼펙트 해상도입니다.\n검은 막대가 나타납니다."
#OPTIONS_RESOLUTION_BAD,"픽셀 퍼펙트 해상도가 아닙니다.\n스케일링 모드가 강제 픽셀 퍼펙트가 아니라면 픽셀이 늘어난 형태로 보일 수 있습니다."
#OPTIONS_PIXELPERFECT,"픽셀 퍼펙트"
#OPTIONS_PIXELPERFECT_INFO,"그래픽 디자인을 그래픽 디자이너가 의도한 대로 보여줍니다.\n올바른 해상도를 선택했을 때만 이용 가능합니다."
#OPTIONS_UNIFORMSCALING,"균일 스케일링"
#OPTIONS_UNIFORMSCALINGFAST,"빠르고 균일 스케일링"
