KEY,PL
#MAINMENU_NORMAL,"TRYB NORMALNY"
#MAINMENU_COOP,"TRYB WSPÓŁPRACY"
#MAINMENU_GUNTEST,"TEST BRONI"
#MAINMENU_CONTROLS,"STEROWANIE"
#MAINMENU_QUIT,"WYJŚCIE Z GRY"
#MAINMENU_PRESS_START,"Wciśnij START"
#MAINMENU_PRESS_OPTIONS,"Wciśnij OPTIONS"
#MAINMENU_NO_USER,"Żaden użytkownik nie jest zalogowany. Gra Progress nie zostaną zapisane."
#OPTIONS_BUTTON,"Przycisk"
#OPTIONS_ALT_BUTTON,"Przycisk Alt"
#CONTROL_RMB,"Prawy przycisk myszki"
#CONTROL_LMB,"Lewy przycisk myszki"
#CONTROL_MMB,"Środkowy przycisk myszki"
#CHAR_CONVICT,"Skazana"
#CHAR_CONVICT_SHORT,"Skazana"
#CHAR_CONVICTPOWER,"Kółko z kluczami"
#CHAR_CONVICTGUN,"Obrzyn"
#CHAR_CONVICTACTUAL,"Odwet"
#CHAR_CONVICTACTUAL2,"Zemsta"
#CHAR_CONVICTACTUAL3,"2 giwery"
#CHAR_GUIDE,"Łowczyni"
#CHAR_GUIDE_SHORT,"Łowczyni"
#CHAR_GUIDEPOWER,"Kusza"
#CHAR_GUIDEACTUAL,"Ogar"
#CHAR_GUIDEACTUAL2,"Wierny psiak"
#CHAR_GUIDEGUN,"Zardzewiała broń"
#CHAR_MARINE,"Marine"
#CHAR_MARINE_SHORT,"Marine"
#CHAR_MARINEPOWER,"Pancerz"
#CHAR_MARINEGUN,"Broń dla marines"
#CHAR_MARINEACTUAL,"Trening wojskowy"
#CHAR_ROGUE,"Pilot"
#CHAR_ROGUE_SHORT,"Pilot"
#CHAR_ROGUEPOWER,"Urzekająca osobowość"
#CHAR_ROGUEACTUAL,"Krętacz"
#CHAR_ROGUEGUN,"Specjał łotra"
#CHAR_CULTIST,"Kultysta"
#CHAR_CULTIST_SHORT,"Przyjaciel"
#CHAR_CULTISTPOWER,"Przyjaźń"
#CHAR_CULTISTACTUAL,"Zazdrość"
#CHAR_CULTISTACTUAL2,"Pomocnik"
#CHAR_CULTISTWEAPON,"Zabawkowy pistolet"
#CHAR_ROBOT,"Robot"
#CHAR_ROBOT_SHORT,"Robot"
#CHAR_ROBOTPOWER,"Nienawiść"
#CHAR_ROBOTGUN,"Rękodziało"
#CHAR_ROBOTACTUAL,"Bezduszny"
#CHAR_BULLET,"Nabój"
#CHAR_BULLET_SHORT,"Nabój"
#CHAR_BULLETPOWER,"Człowiek-nabój"
#CHAR_BULLETACTUAL,"Żądza krwi"
#CHAR_BULLETGUN,"Miecz bohatera"
#CHAR_LASTUSED,"Ostatnio użyto:"
#BUTTON_MASH_TO_CONTINUE,"Uderzaj w przyciski, by kontynuować"
#GENERATING_GUNGEON,"Generowanie..."
#LEVEL,"Komora "
#FOYER_NAME,"Wyłom"
#FOYER_DESC,""
#COOPEND_DESC,"Co się wydarzyło"
#TUTORIAL_SHORTNAME,"Samouczek"
#GUNGEON_SHORTNAME,"Loch Giwer"
#CASTLE_SHORTNAME,"Twierdza"
#MINES_SHORTNAME,"Kopalnia"
#CATACOMBS_SHORTNAME,"Uroczysko"
#FORGE_SHORTNAME,"Kuźnia"
#BULLETHELL_SHORTNAME,"Piekło Pocisków"
#SEWERS_SHORTNAME,"Ciemnica"
#RESOURCEFUL_RAT_LAIR_SHORTNAME,"???"
#ABBEY_SHORTNAME,"Opactwo"
#STARSHIP_SHORTNAME,"Wrak"
#GUNYMEDE_SHORTNAME,"Giweredes"
#WESTERN_SHORTNAME,"Zachód"
#OFFICE_SHORTNAME,"Biuro"
#BELLY_SHORTNAME,"Brzuch"
#JUNGLE_SHORTNAME,"Dżungla"
#GUNGEON_NAME,"Właściwy Loch Giwer"
#GUNGEON_NAME2,"Górny Loch Giwer"
#CASTLE_NAME,"Twierdza Władcy Ołowiu"
#CASTLE_NAME2,"Fort Ołowiu"
#MINES_NAME,"Kopalnia czarnego prochu"
#CATACOMBS_NAME,"Uroczysko"
#FORGE_NAME,"Kuźnia"
#ABBEY_NAME,"Opactwo Prawdziwej Giwery"
#STARSHIP_NAME,"Wrak statku"
#WESTERN_NAME,"Dziki Zachód"
#TUTORIAL_NAME,"Sale Wiedzy"
#TUTORIAL_DESC,"Komora 0"
#AIMLESSVOID_NAME,"Bezkształtna pustka"
#AIMLESSVOID_DESC,"Komora ???"
#SEWERS_NAME,"Ciemnica"
#NIGHTCLUB_SHORTNAME,"Klub"
#NIGHTCLUB_NAME,"Klub „Wyznanie”"
#NIGHTCLUB_SECONDLINE,"Przeszłość (12 lat wcześniej)"
#SCIENCELAB_SHORTNAME,"Laboratorium"
#SCIENCELAB_NAME,"Dział Badań Spłonkozjum"
#SCIENCELAB_SECONDLINE,"Przeszłość (7 lat wcześniej)"
#NAZICASTLE_SHORTNAME,"Dwór"
#NAZICASTLE_NAME,"Dwór Czarnymiecza"
#NAZICASTLE_SECONDLINE,"Przeszłość (1 147 lat wcześniej)"
#HEGEMONYSPACE_SHORTNAME,"Kosmos"
#HEGEMONYSPACE_NAME,"Przestrzeń Hegemonii"
#HEGEMONYSPACE_SECONDLINE,"Przeszłość (11 lat wcześniej)"
#RELOAD,"Przeładowanie"
#RELOAD_EMPTY,"PUSTY"
#RELOAD_FULL,"PEŁNY"
#OPTIONS_AUDIO,"AUDIO"
#OPTIONS_CONTROLS,"STEROWANIE"
#OPTIONS_GAMEPLAY,"ROZGRYWKA"
#OPTIONS_VIDEO,"GRAFIKA"
#OPTIONS_CANCEL,"ANULUJ"
#OPTIONS_RESETDEFAULTS,"PRZYWRÓĆ DOMYŚLNE"
#OPTIONS_CONFIRM,"ZATWIERDŹ"
#OPTIONS_MUSICVOLUME,"Głośność muzyki"
#OPTIONS_SFXVOLUME,"Głośność efektów"
#OPTIONS_UIVOLUME,"Głośność interfejsu"
#OPTIONS_SPEAKERSETUP,"Ustawienia głośników"
#OPTIONS_SPEAKERS,"Głośniki"
#OPTIONS_HEADPHONES,"Słuchawki"
#OPTIONS_GAMMA,"Gamma"
#OPTIONS_DISPLAYSAFEAREA,"Rozmiar"
#OPTIONS_QUICKCHARACTER,"Domyślna postać"
#OPTIONS_SPEEDRUN," Tryb sprintera"
#OPTIONS_BEASTMODE,"Tryb bestii"
#OPTIONS_AIMASSIST,"Stopień asysty celowania kontrolera"
#OPTIONS_SCREENSHAKE,"Stopień drgań ekranu"
#OPTIONS_COOPSCREENSHAKE,"Redukcja drgań ekranu w trybie współpracy"
#OPTIONS_STICKYFRICTION,"Stopień przyczepności"
#OPTIONS_TEXTSPEED,"Prędkość tekstu"
#OPTIONS_HOWTOPLAY,"Jak grać"
#OPTIONS_VIEWCREDITS,"Twórcy"
#OPTIONS_CONTROLLERCAMERAMOVES,"Wygląd sterowania kontrolerem"
#OPTIONS_SAVESLOT,"MIEJSCE ZAPISU"
#OPTIONS_SAVESLOTA,"MIEJSCE A"
#OPTIONS_SAVESLOTB,"MIEJSCE B"
#OPTIONS_SAVESLOTC,"MIEJSCE C"
#OPTIONS_SAVESLOTD,"MIEJSCE D"
#OPTIONS_SHOWCONTROLLERCURSOR,"Kursor"
#OPTIONS_CURSOR,"Kursor"
#OPTIONS_ZOOMONLARGEBOSS,"Zbliżenie kamery bossa"
#OPTIONS_RUMBLE,"WIBRACJE"
#OPTIONS_GUNMENU,"Menu broni"
#OPTIONS_GUNMENU_HOLD,"Menu broni"
#OPTIONS_QUICKSELECT,"Włącz szybką zmianę broni"
#OPTIONS_HIDEEMPTYGUNS,"Ukryj pustą broń w trakcie walki"
#OPTIONS_DEBRISQUANTITY,"Ilość odłamków otoczenia"
#OPTIONS_LIGHTINGQUALITY,"Jakość oświetlenia"
#OPTIONS_MONITORSELECT,"Wybór monitora"
#OPTIONS_MONITOR,"Monitor"
#OPTIONS_RESOLUTION,"Rozdzielczość"
#OPTIONS_SCALINGMODE,"Tryb skalowania"
#OPTIONS_FULLSCREEN,"Pełen ekran"
#OPTIONS_WINDOWED,"Okno"
#OPTIONS_BORDERLESS,"Bez krawędzi"
#OPTIONS_SCREENMODE,"Tryb ekranu"
#OPTIONS_SHADERQUALITY,"Jakość shaderów"
#OPTIONS_VSYNC,"Synchronizacja pionowa"
#OPTIONS_RECOMMENDED,"Zalecane"
#OPTIONS_CUSTOM,"Własne"
#OPTIONS_VISUALPRESET,"Ustawienia wizualne"
#OPTIONS_REFLECTIONS,"Odbicia w czasie rzeczywistym"
#OPTIONS_KEYBOARDMOUSE,"Klawiatura/Mysz"
#OPTIONS_RESOLUTION_BEST,"Właściwy format obrazu, rozdzielczość pixel perfect.\nNajlepsze doznania wizualne."
#OPTIONS_RESOLUTION_GOOD,"Niewłaściwy format obrazu, rozdzielczość pixel perfect.\nSpowoduje wyświetlenie czarnych pasów."
#OPTIONS_RESOLUTION_BAD,"Rozdzielczość nie pixel perfect.\nMoże rozciągać piksele, chyba że tryb skalowana ustawiony będzie na wymuszanie pixel perfect."
#OPTIONS_PIXELPERFECT,"Pixel Perfect"
