KEY,PT
#MAINMENU_NORMAL,"MODO NORMAL"
#MAINMENU_COOP,"MODO CO-OP"
#MAINMENU_GUNTEST,"MODO DE TESTE"
#MAINMENU_CONTROLS,"CONTROLES"
#MAINMENU_QUIT,"SAIR DO JOGO"
#MAINMENU_PRESS_START,"Aperte START"
#MAINMENU_PRESS_OPTIONS,"Aperte OPTIONS"
#MAINMENU_NO_USER,"Nenhum usuário estiver conectado. Jogo progresso não será salva."
#OPTIONS_BUTTON,"Botão"
#OPTIONS_ALT_BUTTON,"Botão alt."
#CONTROL_RMB,"Botão direito do mouse"
#CONTROL_LMB,"Botão esquerdo do mouse"
#CONTROL_MMB,"Roda de rolagem do mouse"
#CHAR_CONVICT,"A Condenada"
#CHAR_CONVICT_SHORT,"Condenada"
#CHAR_CONVICTPOWER,"Chaveiro"
#CHAR_CONVICTGUN,"Escopeta de cano serrado"
#CHAR_CONVICTACTUAL,"Retaliação"
#CHAR_CONVICTACTUAL2,"Vingança"
#CHAR_CONVICTACTUAL3,"2 armas"
#CHAR_GUIDE,"A Caçadora"
#CHAR_GUIDE_SHORT,"Caçadora"
#CHAR_GUIDEPOWER,"Balestra"
#CHAR_GUIDEACTUAL,"Cão de caça"
#CHAR_GUIDEACTUAL2,"Amigo fiel"
#CHAR_GUIDEGUN,"Arma reserva enferrujada"
#CHAR_MARINE,"O Soldado"
#CHAR_MARINE_SHORT,"Soldado"
#CHAR_MARINEPOWER,"Proteção"
#CHAR_MARINEGUN,"Equipamento militar"
#CHAR_MARINEACTUAL,"Treinamento militar"
#CHAR_ROGUE,"O Piloto"
#CHAR_ROGUE_SHORT,"Piloto"
#CHAR_ROGUEPOWER,"Personalidade cativante"
#CHAR_ROGUEACTUAL,"Malandragem"
#CHAR_ROGUEGUN,"Especial de ladino"
#CHAR_CULTIST,"O Cultista"
#CHAR_CULTIST_SHORT,"Cultista"
#CHAR_CULTISTPOWER,"Amizade"
#CHAR_CULTISTACTUAL,"Invejoso"
#CHAR_CULTISTACTUAL2,"Auxiliar"
#CHAR_CULTISTWEAPON,"Arma de brinquedo"
#CHAR_ROBOT,"O Robô"
#CHAR_ROBOT_SHORT,"Robô"
#CHAR_ROBOTPOWER,"Ódio"
#CHAR_ROBOTGUN,"Braço de arma"
#CHAR_ROBOTACTUAL,"Sem coração"
#CHAR_BULLET,"A Bala"
#CHAR_BULLET_SHORT,"Bala"
#CHAR_BULLETPOWER,"Munição viva"
#CHAR_BULLETACTUAL,"Sanguinolento"
#CHAR_BULLETGUN,"Espada de herói"
#CHAR_LASTUSED,"Último uso"
#BUTTON_MASH_TO_CONTINUE,"Aperte qualquer botão para continuar"
#GENERATING_GUNGEON,"Gerando..."
#LEVEL,"Câmara "
#FOYER_NAME,"Fenda"
#FOYER_DESC,""
#COOPEND_DESC,"Hoje mais cedo"
#TUTORIAL_SHORTNAME,"Tutorial"
#GUNGEON_SHORTNAME,"Balabirinto"
#CASTLE_SHORTNAME,"Castelo"
#MINES_SHORTNAME,"Mina"
#CATACOMBS_SHORTNAME,"Oco"
#FORGE_SHORTNAME,"Forja"
#BULLETHELL_SHORTNAME,"Inferno Balístico"
#SEWERS_SHORTNAME,"Masmorra"
#RESOURCEFUL_RAT_LAIR_SHORTNAME,"???"
#ABBEY_SHORTNAME,"Abadia"
#STARSHIP_SHORTNAME,"Nave"
#GUNYMEDE_SHORTNAME,"Armamede"
#WESTERN_SHORTNAME,"Oeste"
#OFFICE_SHORTNAME,"Escritório"
#BELLY_SHORTNAME,"Ventre"
#JUNGLE_SHORTNAME,"Selva"
#GUNGEON_NAME,"Balabirinto - Interior"
#GUNGEON_NAME2,"Balabirinto - Nível superior"
#CASTLE_NAME,"Castelo do Senhor de Chumbo"
#CASTLE_NAME2,"Fortaleza de Pólvora"
#MINES_NAME,"Mina de Pólvora"
#CATACOMBS_NAME,"Oco"
#FORGE_NAME,"Forja"
#ABBEY_NAME,"Abadia da Vera Arma"
#STARSHIP_NAME,"Nave abandonada"
#WESTERN_NAME,"Velho Oeste"
#TUTORIAL_NAME,"Corredores do Conhecimento"
#TUTORIAL_DESC,"Câmara 0"
#AIMLESSVOID_NAME,"Vazio sem rumo"
#AIMLESSVOID_DESC,"Câmara ???"
#SEWERS_NAME,"Masmorra"
#NIGHTCLUB_SHORTNAME,"Boate"
#NIGHTCLUB_NAME,"Boate “Confissão”"
