KEY,RU
#MAINMENU_NORMAL,"ОБЫЧНЫЙ РЕЖИМ"
#MAINMENU_COOP,"СОВМЕСТНЫЙ РЕЖИМ"
#MAINMENU_GUNTEST,"РЕЖИМ ПРОВЕРКИ ОРУЖИЯ"
#MAINMENU_CONTROLS,"УПРАВЛЕНИЕ"
#MAINMENU_QUIT,"ВЫЙТИ ИЗ ИГРЫ"
#MAINMENU_PRESS_START,"Нажмите "
#MAINMENU_PRESS_OPTIONS,"Нажмите "
#MAINMENU_NO_USER,"Ни один пользователь не вошли в систему. Игра Прогресс не будут сохранены ."
#OPTIONS_BUTTON,"Кнопка"
#OPTIONS_ALT_BUTTON,"Кнопка Alt"
#CONTROL_RMB,"Щелчок ПКМ"
#CONTROL_LMB,"Щелчок ЛКМ"
#CONTROL_MMB,"Щелчок СКМ"
#CHAR_CONVICT,"Преступница"
#CHAR_CONVICT_SHORT,"Преступница"
#CHAR_CONVICTPOWER,"Кольцо для ключей"
#CHAR_CONVICTGUN,"Обрез дробовика"
#CHAR_CONVICTACTUAL,"Возмездие"
#CHAR_CONVICTACTUAL2,"Месть"
#CHAR_CONVICTACTUAL3,"2 пушки"
#CHAR_GUIDE,"Охотница"
#CHAR_GUIDE_SHORT,"Охотница"
#CHAR_GUIDEPOWER,"Арбалет"
#CHAR_GUIDEACTUAL,"Гончая"
#CHAR_GUIDEACTUAL2,"Преданная шавка"
#CHAR_GUIDEGUN,"Ржавый пистолет"
#CHAR_MARINE,"Десантник"
#CHAR_MARINE_SHORT,"Десантник"
#CHAR_MARINEPOWER,"Доспехи"
#CHAR_MARINEGUN,"Спецснаряжение"
#CHAR_MARINEACTUAL,"Боевая подготовка"
#CHAR_ROGUE,"Пилот"
#CHAR_ROGUE_SHORT,"Пилот"
#CHAR_ROGUEPOWER,"Обаятельная личность"
#CHAR_ROGUEACTUAL,"Жулик"
#CHAR_ROGUEGUN,"Бродяга особого назначения"
#CHAR_CULTIST,"Сектант"
#CHAR_CULTIST_SHORT,"Друг"
#CHAR_CULTISTPOWER,"Дружба"
#CHAR_CULTISTACTUAL,"Зависть"
#CHAR_CULTISTACTUAL2,"Помощник"
#CHAR_CULTISTWEAPON,"Игрушечный пистолетик"
#CHAR_ROBOT,"Робот"
#CHAR_ROBOT_SHORT,"Робот"
#CHAR_ROBOTPOWER,"Ненависть"
#CHAR_ROBOTGUN,"Рукопушка"
#CHAR_ROBOTACTUAL,"Бессердечность"
#CHAR_BULLET,"Пуля"
#CHAR_BULLET_SHORT,"Пуля"
#CHAR_BULLETPOWER,"Живой боезапас"
#CHAR_BULLETACTUAL,"Кровожадность"
#CHAR_BULLETGUN,"Меч героя"
#CHAR_LASTUSED,"Последний использованный"
#BUTTON_MASH_TO_CONTINUE,"Нажатие кнопки для продолжения"
#GENERATING_GUNGEON,"Создаем..."
#LEVEL,"Зал"
#FOYER_NAME,"Брешь"
#FOYER_DESC,""
#COOPEND_DESC,"Несколькими часами ранее"
#TUTORIAL_SHORTNAME,"Обучение"
#GUNGEON_SHORTNAME,"Оружелье"
#CASTLE_SHORTNAME,"Цитадель"
#MINES_SHORTNAME,"Шахта"
#CATACOMBS_SHORTNAME,"Полость"
#FORGE_SHORTNAME,"Кузня"
#BULLETHELL_SHORTNAME,"Патронный ад"
#SEWERS_SHORTNAME,"Тайный погреб"
#RESOURCEFUL_RAT_LAIR_SHORTNAME,"???"
#ABBEY_SHORTNAME,"Аббатство"
#STARSHIP_SHORTNAME,"Посудина"
#GUNYMEDE_SHORTNAME,"Астрелоид"
#WESTERN_SHORTNAME,"Запад"
#OFFICE_SHORTNAME,"Офис"
#BELLY_SHORTNAME,"Утроба"
#JUNGLE_SHORTNAME,"Джунгли"
#GUNGEON_NAME,"Собственно Оружелье"
#GUNGEON_NAME2,"Верхнее Оружелье"
#CASTLE_NAME,"Цитадель Свинцового Властелина"
#CASTLE_NAME2,"Свинцовая крепость"
#MINES_NAME,"Черная Пороховая Шахта"
#CATACOMBS_NAME,"Полость"
#FORGE_NAME,"Кузня"
