KEY,ES
#MAINMENU_NORMAL,"MODO NORMAL"
#MAINMENU_COOP,"MODO COOPERATIVO"
#MAINMENU_GUNTEST,"MODO PRUEBA DE ARMAS"
#MAINMENU_CONTROLS,"CONTROLES"
#MAINMENU_QUIT,"SALIR DEL JUEGO"
#MAINMENU_PRESS_START,"Pulsa START"
#MAINMENU_PRESS_OPTIONS,"Pulsa OPTIONS"
#MAINMENU_NO_USER,"Ningún usuario ha iniciado sesión. No se guardará Juego Progreso ."
#OPTIONS_BUTTON,"Botón"
#OPTIONS_ALT_BUTTON,"Botón alt."
#CONTROL_RMB,"Clic derecho"
#CONTROL_LMB,"Clic izquierdo"
#CONTROL_MMB,"Clic central"
#CHAR_CONVICT,"La Convicta"
#CHAR_CONVICT_SHORT,"Convicta"
#CHAR_CONVICTPOWER,"Llavero"
#CHAR_CONVICTGUN,"Escopeta recortada"
#CHAR_CONVICTACTUAL,"Represalia"
#CHAR_CONVICTACTUAL2,"Venganza"
#CHAR_CONVICTACTUAL3,"2 armas"
#CHAR_GUIDE,"La Cazadora"
#CHAR_GUIDE_SHORT,"Cazadora"
#CHAR_GUIDEPOWER,"Ballesta"
#CHAR_GUIDEACTUAL,"Sabueso"
#CHAR_GUIDEACTUAL2,"Chucho fiel"
#CHAR_GUIDEGUN,"Arma de mano oxidada"
#CHAR_MARINE,"El Marine"
#CHAR_MARINE_SHORT,"Marine"
#CHAR_MARINEPOWER,"Blindado"
#CHAR_MARINEGUN,"Modelo de Marine"
#CHAR_MARINEACTUAL,"Adiestramiento militar"
#CHAR_ROGUE,"El Piloto"
#CHAR_ROGUE_SHORT,"Piloto"
#CHAR_ROGUEPOWER,"Encanto personal"
#CHAR_ROGUEACTUAL,"De piloto"
#CHAR_ROGUEGUN,"Especial de Piloto"
#CHAR_CULTIST,"El Cultor"
#CHAR_CULTIST_SHORT,"Cultor"
#CHAR_CULTISTPOWER,"Amistad"
#CHAR_CULTISTACTUAL,"Envidioso"
#CHAR_CULTISTACTUAL2,"Compinche"
#CHAR_CULTISTWEAPON,"Arma de juguete"
#CHAR_ROBOT,"El Robot"
#CHAR_ROBOT_SHORT,"Robot"
#CHAR_ROBOTPOWER,"Odio"
#CHAR_ROBOTGUN,"Mano arma"
#CHAR_ROBOTACTUAL,"Sin corazón"
#CHAR_BULLET,"La Bala"
#CHAR_BULLET_SHORT,"Bala"
#CHAR_BULLETPOWER,"Munición real"
#CHAR_BULLETACTUAL,"Sediento de sangre"
#CHAR_BULLETGUN,"Espada de héroe"
#CHAR_LASTUSED,"Ultimo uso"
#BUTTON_MASH_TO_CONTINUE,"Machaca un botón para continuar"
#GENERATING_GUNGEON,"Generando..."
#LEVEL,"Recámara"
#FOYER_NAME,"Brecha"
#FOYER_DESC,""
#COOPEND_DESC,"Antes, ese día"
#TUTORIAL_SHORTNAME,"Tutorial"
#GUNGEON_SHORTNAME,"Armazmorra"
#CASTLE_SHORTNAME,"Fortaleza"
#MINES_SHORTNAME,"Mina"
#CATACOMBS_SHORTNAME,"Hondonada"
#FORGE_SHORTNAME,"Forja"
#BULLETHELL_SHORTNAME,"Infierno de las Balas"
#SEWERS_SHORTNAME,"Calabozo"
#RESOURCEFUL_RAT_LAIR_SHORTNAME,"???"
#ABBEY_SHORTNAME,"Abadía"
#STARSHIP_SHORTNAME,"Pecio"
#GUNYMEDE_SHORTNAME,"Cañonímedes"
#WESTERN_SHORTNAME,"Oeste"
#OFFICE_SHORTNAME,"Oficina"
#BELLY_SHORTNAME,"Barriga"
#JUNGLE_SHORTNAME,"Jungla"
#GUNGEON_NAME,"Armazmorra en sí"
#GUNGEON_NAME2,"Armazmorra superior"
#CASTLE_NAME,"Fortaleza del Señor del Plomo"
#CASTLE_NAME2,"Fuerte Plomo"
#MINES_NAME,"Mina de pólvora"
#CATACOMBS_NAME,"Hondonada"
#FORGE_NAME,"Forja"
#ABBEY_NAME,"Abadía del Arma Verdadera"
#STARSHIP_NAME,"Pecio naufragado"
#WESTERN_NAME,"Viejo Oeste"
#TUTORIAL_NAME,"Salas del Conocimiento"
#TUTORIAL_DESC,"Recámara 0"
#AIMLESSVOID_NAME,"Vacío impreciso"
#AIMLESSVOID_DESC,"Recámara ???"
#SEWERS_NAME,"Calabozo"
#NIGHTCLUB_SHORTNAME,"Club nocturno"
#NIGHTCLUB_NAME,"Club nocturno "
#NIGHTCLUB_SECONDLINE,"El pasado (12 años antes)"
#SCIENCELAB_SHORTNAME,"Laboratorio"
#SCIENCELAB_NAME,"Primerdyne I+D"
#SCIENCELAB_SECONDLINE,"El pasado (7 años antes)"
#NAZICASTLE_SHORTNAME,"Mansión"
#NAZICASTLE_NAME,"Mansión Espada Negra"
#NAZICASTLE_SECONDLINE,"El pasado (1147 años antes)"
#HEGEMONYSPACE_SHORTNAME,"Espacio"
#HEGEMONYSPACE_NAME,"Espacio de la Hegemonía"
#HEGEMONYSPACE_SECONDLINE,"El pasado (11 años antes)"
#RELOAD,"Recargar"
#RELOAD_EMPTY,"VACÍO"
#RELOAD_FULL,"LLENO"
#OPTIONS_AUDIO,"SONIDO"
#OPTIONS_CONTROLS,"CONTROLES"
#OPTIONS_GAMEPLAY,"JUEGO"
#OPTIONS_VIDEO,"GRÁFICOS"
#OPTIONS_CANCEL,"CANCELAR"
#OPTIONS_RESETDEFAULTS,"RESTAURAR POR DEFECTO"
#OPTIONS_CONFIRM,"CONFIRMAR"
#OPTIONS_MUSICVOLUME,"Volumen de música"
#OPTIONS_SFXVOLUME,"Volumen de efectos"
#OPTIONS_UIVOLUME,"Volumen de interfaz"
#OPTIONS_SPEAKERSETUP,"Configuración de altavoces"
#OPTIONS_SPEAKERS,"Altavoces"
#OPTIONS_HEADPHONES,"Auriculares"
#OPTIONS_GAMMA,"Gamma"
#OPTIONS_DISPLAYSAFEAREA,"Tamaño"
#OPTIONS_QUICKCHARACTER,"Personaje por defecto"
#OPTIONS_SPEEDRUN,"Modo Rápido"
#OPTIONS_BEASTMODE,"Modo Bestia"
#OPTIONS_AIMASSIST,"Nivel de puntería asistida del mando"
#OPTIONS_SCREENSHAKE,"Nivel de temblor de pantalla"
#OPTIONS_COOPSCREENSHAKE,"Reducción de temblor de arma en Cooperativo"
#OPTIONS_STICKYFRICTION,"Nivel de fricción pegajosa"
#OPTIONS_TEXTSPEED,"Velocidad de texto"
#OPTIONS_HOWTOPLAY,"Cómo jugar"
#OPTIONS_VIEWCREDITS,"Ver créditos"
#OPTIONS_CONTROLLERCAMERAMOVES,"Apuntar con mando"
#OPTIONS_SAVESLOT,"ESPACIO PARA GUARDAR"
#OPTIONS_SAVESLOTA,"ESPACIO A"
#OPTIONS_SAVESLOTB,"ESPACIO B"
#OPTIONS_SAVESLOTC,"ESPACIO C"
#OPTIONS_SAVESLOTD,"ESPACIO D"
#OPTIONS_SHOWCONTROLLERCURSOR,"Cursor"
#OPTIONS_CURSOR,"Cursor"
#OPTIONS_ZOOMONLARGEBOSS,"Zoom de cámara de jefe"
#OPTIONS_RUMBLE,"VIBRACIÓN"
#OPTIONS_GUNMENU,"Menú del arma"
